City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kharan,PK,76.15,clear sky,28.5833,65.4167,Dil Aram Bangla
3,Balkanabat,TM,59.16,few clouds,39.5108,54.3671,Nebitchi Hotel
4,Jamestown,US,57.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Florida,US,79.0,scattered clouds,28.7505,-82.5001,Sportsmens Cove
6,Port Elizabeth,ZA,77.0,clear sky,-33.918,25.5701,39 On Nile Guest House
7,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
8,Yulara,AU,69.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
9,Dunedin,NZ,54.0,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
11,Bluff,NZ,55.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
13,Rikitea,PF,78.58,clear sky,-23.1203,-134.9692,Pension Maro'i
14,Kruisfontein,ZA,78.01,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
16,Mataura,NZ,55.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
17,Saint-Philippe,RE,80.6,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Bethel,US,52.0,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
23,Atuona,PF,80.8,overcast clouds,-9.8,-139.0333,Villa Enata
25,Dhidhdhoo,MV,84.25,few clouds,6.8833,73.1,Dhidhoo beach
26,Punta Arenas,CL,50.0,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
27,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
28,Pundaguitan,PH,79.99,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
30,Inirida,CO,81.41,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
33,Hithadhoo,MV,84.11,overcast clouds,-0.6,73.0833,Scoop Guest House
34,Hobart,AU,57.2,moderate rain,-42.8794,147.3294,Mantra on Collins Hobart
35,Silopi,TR,59.07,clear sky,37.2497,42.4694,"Özenler Residence Otel, Şırnak Silopi"
36,Butaritari,KI,82.11,broken clouds,3.0707,172.7902,Isles Sunset Lodge
37,Sungaipenuh,ID,65.26,light rain,-2.0833,101.3833,Hotel Jaya Wisata 2
39,Ribeira Grande,PT,59.0,mist,38.5167,-28.7,Quinta da Meia Eira
41,Port Alfred,ZA,77.68,broken clouds,-33.5906,26.891,The Halyards Hotel
43,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
44,Cidreira,BR,69.55,overcast clouds,-30.1811,-50.2056,Hotel Castelo
46,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
49,New Norfolk,AU,57.0,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
50,Kamarai,GR,62.01,scattered clouds,38.3,22.0,Hotel Kanelli Beach
51,Nelson Bay,AU,63.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
52,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Kawalu,ID,73.54,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
55,Makakilo City,US,71.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
57,Hualmay,PE,73.22,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
60,Constitucion,CL,63.1,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
