City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Saint-Augustin,51.226,-58.6502,15.12,72,4,22.86,CA,clear sky
1,Kaduqli,11.0167,29.7167,96.17,9,43,10.33,SD,scattered clouds
2,Kharan,28.5833,65.4167,76.15,10,3,13.15,PK,clear sky
3,Balkanabat,39.5108,54.3671,59.16,33,16,7.96,TM,few clouds
4,Jamestown,42.097,-79.2353,57.99,35,1,16.98,US,clear sky
5,Florida,28.7505,-82.5001,79.0,69,40,5.75,US,scattered clouds
6,Port Elizabeth,-33.918,25.5701,77.0,61,0,8.05,ZA,clear sky
7,Bredasdorp,-34.5322,20.0403,78.8,38,8,20.71,ZA,clear sky
8,Yulara,-25.2406,130.9889,69.8,32,0,8.05,AU,clear sky
9,Dunedin,-45.8742,170.5036,54.0,91,97,3.62,NZ,overcast clouds
10,Henties Bay,-22.116,14.2845,64.0,86,8,7.0,NA,clear sky
11,Bluff,-46.6,168.3333,55.0,96,98,5.14,NZ,overcast clouds
12,Toguchin,55.2353,84.3858,22.33,94,100,8.66,RU,overcast clouds
13,Rikitea,-23.1203,-134.9692,78.58,73,7,16.15,PF,clear sky
14,Kruisfontein,-34.0033,24.7314,78.01,47,37,7.0,ZA,scattered clouds
15,Fort Nelson,58.8053,-122.7002,6.8,85,90,5.75,CA,overcast clouds
16,Mataura,-46.1927,168.8643,55.0,96,100,1.68,NZ,overcast clouds
17,Saint-Philippe,-21.3585,55.7679,80.6,83,90,4.61,RE,overcast clouds
18,Bethel,41.3712,-73.414,52.0,35,1,12.66,US,clear sky
19,Yellowknife,62.456,-114.3525,-13.0,77,40,8.05,CA,scattered clouds
20,Ati,13.2154,18.3353,94.75,5,4,15.28,TD,clear sky
21,Dvinskoy,62.1535,45.1175,34.83,97,100,13.18,RU,snow
22,Tigil,57.8,158.6667,26.31,81,100,10.33,RU,overcast clouds
23,Atuona,-9.8,-139.0333,80.8,70,97,19.17,PF,overcast clouds
24,Qaanaaq,77.484,-69.3632,-2.36,67,38,6.22,GL,scattered clouds
25,Dhidhdhoo,6.8833,73.1,84.25,70,20,5.26,MV,few clouds
26,Punta Arenas,-53.15,-70.9167,50.0,53,0,16.11,CL,clear sky
27,Kapaa,22.0752,-159.319,73.4,88,27,10.36,US,light rain
28,Pundaguitan,6.3711,126.1689,79.99,83,100,8.55,PH,overcast clouds
29,Clyde River,70.4692,-68.5914,-4.0,84,90,37.98,CA,heavy snow
30,Inirida,3.8653,-67.9239,81.41,86,100,1.36,CO,heavy intensity rain
31,Ilulissat,69.2167,-51.1,28.4,54,75,11.5,GL,broken clouds
32,Moussoro,13.6408,16.4901,92.71,5,0,17.96,TD,clear sky
33,Hithadhoo,-0.6,73.0833,84.11,74,94,17.34,MV,overcast clouds
34,Hobart,-42.8794,147.3294,57.2,77,99,8.05,AU,moderate rain
35,Silopi,37.2497,42.4694,59.07,51,8,2.62,TR,clear sky
36,Butaritari,3.0707,172.7902,82.11,74,56,20.49,KI,broken clouds
37,Sungaipenuh,-2.0833,101.3833,65.26,97,100,1.14,ID,light rain
38,Gimli,50.6336,-96.9907,12.2,73,100,13.8,CA,overcast clouds
39,Ribeira Grande,38.5167,-28.7,59.0,82,75,18.41,PT,mist
40,Ushuaia,-54.8,-68.3,46.4,61,75,26.46,AR,broken clouds
41,Port Alfred,-33.5906,26.891,77.68,69,72,20.8,ZA,broken clouds
42,Albany,42.6001,-73.9662,51.01,33,2,1.01,US,clear sky
43,Souillac,-20.5167,57.5167,77.0,94,40,1.14,MU,scattered clouds
44,Cidreira,-30.1811,-50.2056,69.55,80,98,10.31,BR,overcast clouds
45,Porto Novo,6.4965,2.6036,87.8,70,20,13.8,BJ,few clouds
