City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2021-03-29 19:51:05,72.7868,-56.1549,-0.18,69,100,7.14
1,Toora-Khem,RU,2021-03-29 19:51:06,52.4675,96.11,26.15,96,95,4.21
2,Saint-Philippe,RE,2021-03-29 19:51:06,-21.3585,55.7679,77.0,78,0,4.61
3,Karratha,AU,2021-03-29 19:51:06,-20.7377,116.8463,87.84,41,35,6.87
4,Sahuaripa,MX,2021-03-29 19:51:07,29.05,-109.2333,90.72,9,100,5.23
5,Bredasdorp,ZA,2021-03-29 19:51:07,-34.5322,20.0403,60.8,88,96,5.75
6,Provideniya,RU,2021-03-29 19:51:07,64.3833,-173.3,18.18,90,98,4.34
7,Sinnamary,GF,2021-03-29 19:51:08,5.3833,-52.95,79.14,85,81,14.32
8,Sistranda,NO,2021-03-29 19:51:08,63.7256,8.834,44.6,65,20,34.52
9,Luanda,AO,2021-03-29 19:51:08,-8.8368,13.2343,80.6,78,20,6.91
10,Ushuaia,AR,2021-03-29 19:50:09,-54.8,-68.3,51.8,62,75,3.44
11,Geraldton,AU,2021-03-29 19:51:09,-28.7667,114.6,73.4,64,75,5.75
12,Tuatapere,NZ,2021-03-29 19:51:09,-46.1333,167.6833,51.01,97,100,3.29
13,Rikitea,PF,2021-03-29 19:51:10,-23.1203,-134.9692,79.36,69,28,16.6
14,Bluff,NZ,2021-03-29 19:51:10,-46.6,168.3333,51.01,97,100,5.66
15,Port Elizabeth,ZA,2021-03-29 19:51:10,-33.918,25.5701,66.2,88,40,14.97
16,Pyapon,MM,2021-03-29 19:51:11,16.2833,95.6833,78.75,65,99,8.75
17,Mataura,NZ,2021-03-29 19:51:11,-46.1927,168.8643,51.01,97,100,2.48
18,Bereda,ES,2021-03-29 19:51:11,43.2686,-7.5406,55.0,77,100,1.01
19,Yellowknife,CA,2021-03-29 19:51:12,62.456,-114.3525,3.99,55,40,11.5
20,Evensk,RU,2021-03-29 19:51:12,61.95,159.2333,-5.85,79,8,6.4
21,Polson,US,2021-03-29 19:51:13,47.6936,-114.1632,36.0,64,100,7.0
22,Avarua,CK,2021-03-29 19:51:13,-21.2078,-159.775,80.6,83,75,13.8
23,Kodiak,US,2021-03-29 19:51:13,57.79,-152.4072,42.8,70,75,5.75
24,Serebryanyy Bor,RU,2021-03-29 19:51:14,56.8,124.8,1.92,99,100,2.01
25,Ribeira Grande,PT,2021-03-29 19:51:14,38.5167,-28.7,60.8,82,75,23.02
26,Petropavlovsk-Kamchatskiy,RU,2021-03-29 19:51:14,53.0452,158.6483,26.6,54,100,4.47
27,Puerto Ayora,EC,2021-03-29 19:51:15,-0.7393,-90.3518,82.4,78,20,11.5
28,Cidreira,BR,2021-03-29 19:51:15,-30.1811,-50.2056,77.25,53,2,9.33
29,Hilo,US,2021-03-29 19:51:16,19.7297,-155.09,71.6,83,90,4.61
30,Taltal,CL,2021-03-29 19:50:20,-25.4,-70.4833,68.77,69,22,7.67
31,Hualmay,PE,2021-03-29 19:51:16,-11.0964,-77.6139,74.43,73,38,10.0
32,Yeppoon,AU,2021-03-29 19:51:17,-23.1333,150.7333,71.6,78,40,6.91
33,Ciudad Bolivar,VE,2021-03-29 19:51:17,8.1222,-63.5497,89.87,42,100,13.89
34,Dikson,RU,2021-03-29 19:51:17,73.5069,80.5464,-27.63,99,6,8.12
35,Khatanga,RU,2021-03-29 19:51:18,71.9667,102.5,-24.7,97,22,11.61
36,Mar Del Plata,AR,2021-03-29 19:48:54,-38.0023,-57.5575,68.0,64,20,11.5
37,Cape Town,ZA,2021-03-29 19:51:18,-33.9258,18.4232,66.99,63,0,3.44
38,New Norfolk,AU,2021-03-29 19:51:18,-42.7826,147.0587,52.0,68,98,3.27
39,Busselton,AU,2021-03-29 19:51:19,-33.65,115.3333,62.01,96,6,4.45
